,date,value,changed
405,2013-10-01,228.584,110.1599264872551
406,2013-11-01,229.119,110.3939761145256
407,2013-12-01,229.623,110.61394914164252
408,2014-01-01,230.52,111.00458945206438
409,2014-02-01,231.084,111.24925368944075
410,2014-03-01,232.119,111.6971427687366
411,2014-04-01,232.014,111.65190735069672
412,2014-05-01,232.785,111.9842148838628
413,2014-06-01,233.117,112.12683575720085
414,2014-07-01,233.695,112.37477992257705
415,2014-08-01,233.928,112.47448252639826
416,2014-09-01,234.234,112.60529200623823
417,2014-10-01,234.656,112.78545372486148
418,2014-11-01,235.0,112.93205129747841
419,2014-12-01,235.425,113.1129023613082
420,2015-01-01,235.735,113.24457911611334
421,2015-02-01,236.2,113.44183450882124
422,2015-03-01,236.602,113.61202925903294
423,2015-04-01,237.086,113.81659219594809
424,2015-05-01,237.21,113.8688938923789
425,2015-06-01,237.804,114.11930492058175
426,2015-07-01,238.334,114.34217753836784
427,2015-08-01,238.7,114.495743542379
428,2015-09-01,239.236,114.72029318628348
429,2015-10-01,239.593,114.86951821930528
430,2015-11-01,240.001,115.03980700069705
431,2015-12-01,240.224,115.13272328021255
432,2016-01-01,240.673,115.31963216525317
433,2016-02-01,241.124,115.5070233557897
434,2016-03-01,241.587,115.69904074103546
435,2016-04-01,242.071,115.89938264684994
436,2016-05-01,242.833,116.21416632601844
437,2016-06-01,243.515,116.4950177753684
438,2016-07-01,244.224,116.78617027110788
439,2016-08-01,244.911,117.067469406328
440,2016-09-01,245.755,117.41208438891351
441,2016-10-01,246.48,117.70709364610056
442,2016-11-01,246.985,117.91197842377017
443,2016-12-01,247.543,118.13790307506477
444,2017-01-01,248.164,118.38876858125965
445,2017-02-01,248.807,118.64787143259991
446,2017-03-01,249.098,118.76482955676846
447,2017-04-01,249.8,119.0466463517648
448,2017-05-01,250.408,119.29004106753742
449,2017-06-01,250.933,119.49969890594514
450,2017-07-01,251.21,119.61008693781024
451,2017-08-01,252.086,119.95879917060353
452,2017-09-01,252.603,120.16388791016067
453,2017-10-01,253.292,120.43664793280489
454,2017-11-01,253.798,120.63641736887077
455,2017-12-01,254.575,120.94256635349632
456,2018-01-01,255.117,121.15547021286979
457,2018-02-01,255.827,121.43377389314199
458,2018-03-01,256.508,121.69996940807982
459,2018-04-01,257.232,121.98222181346291
460,2018-05-01,257.894,122.23957704142833
461,2018-06-01,258.004,122.28223022451907
462,2018-07-01,258.594,122.51090884965664
463,2018-08-01,259.39,122.81872728318565
464,2018-09-01,259.582,122.89274709890715
465,2018-10-01,260.391,123.20440199023244
466,2018-11-01,261.054,123.4590190852933
